maHuyet,tenViet
EX-B4,HUYỆT VỊ QUẢN HẠ DU
EX-B5,HUYỆT BĨ CĂN
EX-B6,HUYỆT HẠ CHÍ THẤT/HẠ CỰC DU
EX-B7,HUYỆT YÊU NGHI (Ex-B 6 yāo yí
EX-B8,HUYỆT YÊU NHÃN
EX-B8,HUYỆT THẬP THẤT CHUỲ/THẬP THẤT CHUỲ HẠ (Ex-B 8 shí qī zhuī
KH-EX397,HUYỆT YÊU KỲ
KH-EX398,HUYỆT KẾT HẠCH HUYỆT
KH-EX399,HUYỆT ĐỒN TRUNG
EX-UE9,HUYỆT TRỬU TIÊM
SP-EX401,HUYỆT NHỊ BẠCH
KD-EX402,HUYỆT TRUNG TUYỀN
KH-EX403,HUYỆT TRUNG KHÔI
KH-EX404,HUYỆT ĐẠI CỐT KHÔNG
KH-EX405,HUYỆT TIỂU CỐT KHÔNG
EX-UE7,HUYỆT YÊU THỐNG ĐIỂM/YÊU THỐNG HUYỆT (Ex-UE 7 Yāo tòng diǎn/Yāo
EX-UE8,HUYỆT NGOẠI LAO CUNG / LẠC CHẨM / HẠNG CƯỜNG (Ex-UE 8
EX-UE9,HUYỆT BÁT TÀ
EX-UE10,HUYỆT TỨ PHÙNG (Ex-UE 10 Sì fèng
EX-UE9,HUYỆT THẬP TUYÊN
EX-UE,HUYỆT KIÊN TIỀN
BL-EX412,HUYỆT TÝ TRUNG
EX-UE,HUYỆT KHOAN CỐT
EX-LE2,HUYỆT HẠC ĐỈNH/TẤT ĐỈNH
EX-LE4,HUYỆT BÁCH TRÙNG OA
EX-LE6,HUYỆT NỘI TẤT NHÃN
EX-LE5,HUYỆT TẤT NHÃN
EX-LE8,HUYỆT ĐẢM NANG
EX-LE7,HUYỆT LAN VĨ
EX-F12,HUYỆT NỘI KHOẢ TIÊM
EX-F11,HUYỆT NGOẠI KHOẢ TIÊM
EX-LE10,HUYỆT BÁT PHONG
EX-LE11,HUYỆT ĐỘC ÂM (Ex-LE 11 Dú yīn 獨陰
EX-LE12,HUYỆT KHÍ ĐOAN (Ex-LE 12 Qì duān 氣
EX-LE7,HUYỆT HOÀN TRUNG
KH-EX426,HUYỆT TỨ CƯỜNG
EX-LE,HUYỆT LÝ NỘI ĐÌNH (Ex-LE Lǐ nèi tíng 里
KH-EX428,HUYỆT VÙNG ĐẦU MẶT
KH-EX429,HUYỆT VÙNG LƯNG
KH-EX430,HUYỆT VÙNG NGỰC BỤNG
KH-EX431,HUYỆT VÙNG TAY
KH-EX432,HUYỆT VÙNG CHÂN
